time,
935555,
973621,
974109,
933086,
955046,
933245,
936937,
927805,
918668,
929716,
933639,
961089,
927526,
931819,
928717,
964867,
883478,
907043,
977076,
915538,
934112,
913854,
967535,
929531,
957649,
919469,
948132,
915914,
915140,
901022,
852878,
902044,
907813,
973504,
990887,
934147,
925618,
949463,
908195,
925165,
900369,
935898,
914805,
865466,
957108,
903206,
950016,
900732,
959393,
905284,
957736,
902763,
901076,
904872,
901551,
920293,
850932,
925822,
899230,
931429,
894998,
908256,
903113,
896730,
895987,
884705,
918902,
952226,
911906,
904527,
913009,
925879,
903619,
920027,
905819,
900972,
895026,
865944,
917917,
908946,
901896,
915581,
933694,
951053,
896134,
896341,
905649,
897539,
945137,
865037,
938250,
900606,
904758,
924678,
913219,
915399,
904515,
904559,
928774,
920894
