time,
0.589472,
0.572025,
0.708311,
0.658096,
0.723464,
0.65687,
0.699436,
0.592685,
0.816904,
0.621204,
0.641715,
0.377093,
0.55884,
0.758139,
0.728576,
0.603251,
0.632961,
0.66758,
0.684273,
0.60004,
0.514089,
0.674451,
0.823622,
0.676445,
0.829888,
0.781549,
0.671099,
0.470384,
1.12229,
0.534804,
0.704214,
0.429097,
0.50043,
0.635904,
0.583824,
1.05979,
0.489597,
0.61131,
0.632917,
0.629316,
0.472634,
0.596403,
0.746077,
0.546462,
0.564354,
0.545208,
0.554925,
0.755017,
0.700008,
0.507325,
0.804286,
0.607921,
0.471199,
0.554306,
0.741644,
0.402999,
0.638455,
0.772212,
0.627407,
0.709782,
0.555027,
0.680138,
0.563586,
0.778392,
0.634347,
0.515074,
0.669429,
0.48634,
0.82944,
0.839901,
0.585169,
0.747377,
0.67264,
0.758729,
0.615729,
0.859247,
0.797818,
0.449699,
0.836788,
0.515381,
0.659796,
0.479941,
0.513938,
0.687677,
0.742853,
0.637773,
0.766386,
0.644459,
0.701349,
0.711036,
0.683762,
0.618456,
0.50965,
0.626628,
0.757908,
0.783323,
0.701879,
0.924654,
0.548686,
0.768981
